"Date","Maximum Temperature (degF)","Precipitation (in)","Mean Temperature (degF)","Cooling Degree Days","Minimum Temperature (degF)","Heating Degree Days","Snowfall (in)","Growing Degree Days","Snow Depth (in)"
"2000-01-01","-8","","-16.5","0","-25","81","","0",""
"2000-01-02","7","","-10","0","-27","75","","0",""
"2000-01-03","15","0.13","11","0","7","54","","0",""
"2000-01-04","16","0.02","13","0","10","52","","0",""
"2000-01-05","13","","2","0","-9","63","","0",""
"2000-01-06","22","0.23","14.5","0","7","50","","0",""
"2000-01-07","24","0.21","21.5","0","19","43","","0",""
"2000-01-08","22","0.11","11.5","0","1","53","","0",""
"2000-01-09","13","","2","0","-9","63","","0",""
"2000-01-10","11","","-4.5","0","-20","69","","0",""
"2000-01-11","6","","-7.5","0","-21","72","","0",""
"2000-01-12","4","0","-13","0","-30","78","","0",""
"2000-01-13","1","","-13","0","-27","78","","0",""
"2000-01-14","5","0.02","-3.5","0","-12","68","","0",""
"2000-01-15","2","","-9","0","-20","74","","0",""
"2000-01-16","2","0","-11","0","-24","76","","0",""
"2000-01-17","10","","-2.5","0","-15","67","","0",""
"2000-01-18","21","0.01","15.5","0","10","49","","0",""
"2000-01-19","29","0.56","25","0","21","40","","0",""
"2000-01-20","26","","13","0","0","52","","0",""
"2000-01-21","24","","22","0","20","43","","0",""
"2000-01-22","32","0.05","26.5","0","21","38","","0",""
"2000-01-23","36","0.01","27.5","0","19","37","","0",""
"2000-01-24","36","0.13","29.5","0","23","35","","0",""
"2000-01-25","25","0.01","18","0","11","47","","0",""
"2000-01-26","32","0.15","27.5","0","23","37","","0",""
"2000-01-27","32","0.27","25.5","0","19","39","","0",""
"2000-01-28","21","0.09","18","0","15","47","","0",""
"2000-01-29","16","","4.5","0","-7","60","","0",""
"2000-01-30","23","0.04","12.5","0","2","52","","0",""
"2000-01-31","19","0.42","16.5","0","14","48","","0",""
"2000-02-01","23","0.15","8","0","-7","57","","0",""
"2000-02-02","39","0.01","30.5","0","22","34","","0",""
"2000-02-03","35","0.27","27.5","0","20","37","","0",""
"2000-02-04","30","","23","0","16","42","","0",""
"2000-02-05","34","0.02","31.5","0","29","33","","0",""
"2000-02-06","36","0.02","34.5","0","33","30","","0",""
"2000-02-07","38","0","34","0","30","31","","0",""
"2000-02-08","34","0.02","30.5","0","27","34","","0",""
"2000-02-09","35","","29","0","23","36","","0",""
"2000-02-10","33","0","24.5","0","16","40","","0",""
"2000-02-11","27","0","18.5","0","10","46","","0",""
"2000-02-12","34","0","25","0","16","40","","0",""
"2000-02-13","32","0","19.5","0","7","45","","0",""
"2000-02-14","23","","12.5","0","2","52","","0",""
"2000-02-15","23","0","10.5","0","-2","54","","0",""
"2000-02-16","30","0","22","0","14","43","","0",""
"2000-02-17","32","","29.5","0","27","35","","0",""
"2000-02-18","33","0","30","0","27","35","","0",""
"2000-02-19","36","0.01","34","0","32","31","","0",""
"2000-02-20","35","0.15","31.5","0","28","33","","0",""
"2000-02-21","33","0.01","25","0","17","40","","0",""
"2000-02-22","27","0","15.5","0","4","49","","0",""
"2000-02-23","23","","11","0","-1","54","","0",""
"2000-02-24","27","0","18.5","0","10","46","","0",""
"2000-02-25","29","0","21.5","0","14","43","","0",""
"2000-02-26","29","0","19","0","9","46","","0",""
"2000-02-27","33","0","25","0","17","40","","0",""
"2000-02-28","37","0","32","0","27","33","","0",""
"2000-02-29","38","0","31","0","24","34","","0",""
"2000-03-01","34","0","26","0","18","39","","0",""
"2000-03-02","34","0","25","0","16","40","","0",""
"2000-03-03","37","0.04","33.5","0","30","31","","0",""
"2000-03-04","42","0.03","33","0","24","32","","0",""
"2000-03-05","38","0","26","0","14","39","","0",""
"2000-03-06","35","0","27.5","0","20","37","","0",""
"2000-03-07","35","0","22","0","9","43","","0",""
"2000-03-08","32","0","21","0","10","44","","0",""
"2000-03-09","32","0","23","0","14","42","","0",""
"2000-03-10","29","0","20","0","11","45","","0",""
"2000-03-11","29","0","27","0","25","38","","0",""
"2000-03-12","35","0","30","0","25","35","","0",""
"2000-03-13","38","0","33.5","0","29","31","","0",""
"2000-03-14","38","0","35.5","0","33","29","","0",""
"2000-03-15","37","0","33.5","0","30","31","","0",""
"2000-03-16","38","0.01","35","0","32","30","","0",""
"2000-03-17","36","0.01","32","0","28","33","","0",""
"2000-03-18","34","0","26","0","18","39","","0",""
"2000-03-19","38","0","27.5","0","17","37","","0",""
"2000-03-20","40","0.01","35.5","0","31","29","","0",""
"2000-03-21","39","0.04","32.5","0","26","32","","0",""
"2000-03-22","40","","33","0","26","32","","0",""
"2000-03-23","42","0.01","36.5","0","31","28","","0",""
"2000-03-24","36","0.06","31.5","0","27","33","","0",""
"2000-03-25","32","0","26.5","0","21","38","","0",""
"2000-03-26","30","","23","0","16","42","","0",""
"2000-03-27","20","","15","0","10","50","","0",""
"2000-03-28","26","0","9.5","0","-7","55","","0",""
"2000-03-29","42","","33.5","0","25","31","","0",""
"2000-03-30","36","","33.5","0","31","31","","0",""
"2000-03-31","33","0.03","26.5","0","20","38","","0",""
"2000-04-01","35","","22","0","9","43","","0",""
"2000-04-02","41","","36","0","31","29","","0",""
"2000-04-03","40","0.07","31","0","22","34","","0",""
"2000-04-04","37","0.03","30","0","23","35","","0",""
"2000-04-05","38","0","30","0","22","35","","0",""
"2000-04-06","35","","25","0","15","40","","0",""
"2000-04-07","38","","31.5","0","25","33","","0",""
"2000-04-08","41","","29.5","0","18","35","","0",""
"2000-04-09","40","","28.5","0","17","36","","0",""
"2000-04-10","37","","31","0","25","34","","0",""
"2000-04-11","38","","34.5","0","31","30","","0",""
"2000-04-12","44","0","38.5","0","33","26","","0",""
"2000-04-13","42","","36","0","30","29","","0",""
"2000-04-14","40","0","32.5","0","25","32","","0",""
"2000-04-15","53","0","37.5","0","22","27","","0",""
"2000-04-16","48","0","40","0","32","25","","0",""
"2000-04-17","44","0","38","0","32","27","","0",""
"2000-04-18","38","0.06","35.5","0","33","29","","0",""
"2000-04-19","47","","40","0","33","25","","0",""
"2000-04-20","46","0","39","0","32","26","","0",""
"2000-04-21","48","0","42","0","36","23","","0",""
"2000-04-22","49","0","40.5","0","32","24","","0",""
"2000-04-23","46","0","36.5","0","27","28","","0",""
"2000-04-24","48","0","36.5","0","25","28","","0",""
"2000-04-25","47","","38.5","0","30","26","","0",""
"2000-04-26","48","0","38.5","0","29","26","","0",""
"2000-04-27","50","0","37.5","0","25","27","","0",""
"2000-04-28","54","0","40","0","26","25","","0",""
"2000-04-29","51","","42.5","0","34","22","","0",""
"2000-04-30","53","","43","0","33","22","","0",""
"2000-05-01","54","0","42.5","0","31","22","","0",""
"2000-05-02","53","","42.5","0","32","22","","0",""
"2000-05-03","54","0","41","0","28","24","","0",""
"2000-05-04","52","0","40.5","0","29","24","","0",""
"2000-05-05","52","0","43","0","34","22","","0",""
"2000-05-06","57","0","42.5","0","28","22","","0",""
"2000-05-07","56","0","46.5","0","37","18","","0",""
"2000-05-08","52","0","40.5","0","29","24","","0",""
"2000-05-09","53","0","41.5","0","30","23","","0",""
"2000-05-10","53","0","44","0","35","21","","0",""
"2000-05-11","55","0","41.5","0","28","23","","0",""
"2000-05-12","60","0","44","0","28","21","","0",""
"2000-05-13","59","0","44.5","0","30","20","","0",""
"2000-05-14","49","0","42.5","0","36","22","","0",""
"2000-05-15","51","","45","0","39","20","","0",""
"2000-05-16","55","0","48","0","41","17","","0",""
"2000-05-17","53","0.01","45.5","0","38","19","","0",""
"2000-05-18","56","0","45","0","34","20","","0",""
"2000-05-19","50","0.02","44","0","38","21","","0",""
"2000-05-20","50","0.11","41","0","32","24","","0",""
"2000-05-21","53","0","41.5","0","30","23","","0",""
"2000-05-22","53","","43.5","0","34","21","","0",""
"2000-05-23","49","0.01","42.5","0","36","22","","0",""
"2000-05-24","50","0","43","0","36","22","","0",""
"2000-05-25","55","0","42","0","29","23","","0",""
"2000-05-26","59","0","43.5","0","28","21","","0",""
"2000-05-27","61","0","48.5","0","36","16","","0",""
"2000-05-28","60","0","46","0","32","19","","0",""
"2000-05-29","63","0","47","0","31","18","","0",""
"2000-05-30","49","","45.5","0","42","19","","0",""
"2000-05-31","55","0","48.5","0","42","16","","0",""
"2000-06-01","58","0","50","0","42","15","","0",""
"2000-06-02","53","0","45","0","37","20","","0",""
"2000-06-03","58","0","48","0","38","17","","0",""
"2000-06-04","73","0","51.5","0","30","13","","2",""
"2000-06-05","63","0","48.5","0","34","16","","0",""
"2000-06-06","62","0","50","0","38","15","","0",""
"2000-06-07","61","0","52.5","0","44","12","","3",""
"2000-06-08","64","0","54","0","44","11","","4",""
"2000-06-09","62","0","49.5","0","37","15","","0",""
"2000-06-10","62","","50","0","38","15","","0",""
"2000-06-11","65","0","50.5","0","36","14","","1",""
"2000-06-12","66","0","50","0","34","15","","0",""
"2000-06-13","61","0.01","47","0","33","18","","0",""
"2000-06-14","54","0","48","0","42","17","","0",""
"2000-06-15","56","0.08","46","0","36","19","","0",""
"2000-06-16","57","0.02","47.5","0","38","17","","0",""
"2000-06-17","54","","48","0","42","17","","0",""
"2000-06-18","59","0.03","49","0","39","16","","0",""
"2000-06-19","53","0.02","49.5","0","46","15","","0",""
"2000-06-20","59","0.06","50.5","0","42","14","","1",""
"2000-06-21","59","0","49.5","0","40","15","","0",""
"2000-06-22","65","0","50.5","0","36","14","","1",""
"2000-06-23","64","0","54","0","44","11","","4",""
"2000-06-24","73","0","53.5","0","34","11","","4",""
"2000-06-25","69","0","59.5","0","50","5","","10",""
"2000-06-26","72","0","57.5","0","43","7","","8",""
"2000-06-27","59","0.07","54.5","0","50","10","","5",""
"2000-06-28","62","0","56","0","50","9","","6",""
"2000-06-29","61","0.02","55","0","49","10","","5",""
"2000-06-30","59","0","52","0","45","13","","2",""
"2000-07-01","62","0","51.5","0","41","13","","2",""
"2000-07-02","62","0","54","0","46","11","","4",""
"2000-07-03","59","0","55","0","51","10","","5",""
"2000-07-04","64","0.15","55","0","46","10","","5",""
"2000-07-05","59","0.2","54","0","49","11","","4",""
"2000-07-06","63","0","55.5","0","48","9","","6",""
"2000-07-07","59","0","54.5","0","50","10","","5",""
"2000-07-08","63","0.25","57","0","51","8","","7",""
"2000-07-09","57","0.11","53.5","0","50","11","","4",""
"2000-07-10","58","0","52.5","0","47","12","","3",""
"2000-07-11","65","0","59.5","0","54","5","","10",""
"2000-07-12","66","0","58.5","0","51","6","","9",""
"2000-07-13","59","","56.5","0","54","8","","7",""
"2000-07-14","55","","52.5","0","50","12","","3",""
"2000-07-15","65","0.18","57","0","49","8","","7",""
"2000-07-16","59","0.86","55","0","51","10","","5",""
"2000-07-17","57","0","53.5","0","50","11","","4",""
"2000-07-18","53","0.25","47.5","0","42","17","","0",""
"2000-07-19","59","0","52.5","0","46","12","","3",""
"2000-07-20","54","0.31","51.5","0","49","13","","2",""
"2000-07-21","56","0.35","51.5","0","47","13","","2",""
"2000-07-22","63","0.13","57.5","0","52","7","","8",""
"2000-07-23","57","0.08","54","0","51","11","","4",""
"2000-07-24","58","0.05","53.5","0","49","11","","4",""
"2000-07-25","66","0","54.5","0","43","10","","5",""
"2000-07-26","67","0","53.5","0","40","11","","4",""
"2000-07-27","64","0","54.5","0","45","10","","5",""
"2000-07-28","60","0","49.5","0","39","15","","0",""
"2000-07-29","55","0.23","50","0","45","15","","0",""
"2000-07-30","61","0.02","54","0","47","11","","4",""
"2000-07-31","58","","52","0","46","13","","2",""
"2000-08-01","66","0.02","56","0","46","9","","6",""
"2000-08-02","60","0.39","56.5","0","53","8","","7",""
"2000-08-03","58","0","55","0","52","10","","5",""
"2000-08-04","60","0","55.5","0","51","9","","6",""
"2000-08-05","61","0","54.5","0","48","10","","5",""
"2000-08-06","67","0","51.5","0","36","13","","2",""
"2000-08-07","68","0","51","0","34","14","","1",""
"2000-08-08","65","0","55","0","45","10","","5",""
"2000-08-09","65","0","50.5","0","36","14","","1",""
"2000-08-10","64","0","50.5","0","37","14","","1",""
"2000-08-11","67","0","53.5","0","40","11","","4",""
"2000-08-12","70","0","54.5","0","39","10","","5",""
"2000-08-13","68","0.06","54.5","0","41","10","","5",""
"2000-08-14","68","","53.5","0","39","11","","4",""
"2000-08-15","69","0","57.5","0","46","7","","8",""
"2000-08-16","65","0","50.5","0","36","14","","1",""
"2000-08-17","67","0","49","0","31","16","","0",""
"2000-08-18","65","0.04","59","0","53","6","","9",""
"2000-08-19","62","0","51","0","40","14","","1",""
"2000-08-20","63","","47","0","31","18","","0",""
"2000-08-21","62","0.01","46.5","0","31","18","","0",""
"2000-08-22","62","0","45","0","28","20","","0",""
"2000-08-23","62","0","44.5","0","27","20","","0",""
"2000-08-24","58","0.06","52","0","46","13","","2",""
"2000-08-25","59","0","46.5","0","34","18","","0",""
"2000-08-26","59","0.2","44","0","29","21","","0",""
"2000-08-27","52","0.08","48.5","0","45","16","","0",""
"2000-08-28","57","","52","0","47","13","","2",""
"2000-08-29","56","0.42","52.5","0","49","12","","3",""
"2000-08-30","63","0","49.5","0","36","15","","0",""
"2000-08-31","60","","46.5","0","33","18","","0",""
"2000-09-01","57","0.06","52","0","47","13","","2",""
"2000-09-02","62","0","47.5","0","33","17","","0",""
"2000-09-03","57","0","49","0","41","16","","0",""
"2000-09-04","57","0","42.5","0","28","22","","0",""
"2000-09-05","51","0.1","46","0","41","19","","0",""
"2000-09-06","53","0.1","41.5","0","30","23","","0",""
"2000-09-07","59","0","44","0","29","21","","0",""
"2000-09-08","56","0","43.5","0","31","21","","0",""
"2000-09-09","55","0","41","0","27","24","","0",""
"2000-09-10","49","0.7","46","0","43","19","","0",""
"2000-09-11","55","","48.5","0","42","16","","0",""
"2000-09-12","53","0.05","47","0","41","18","","0",""
"2000-09-13","48","0.17","43.5","0","39","21","","0",""
"2000-09-14","56","0","45","0","34","20","","0",""
"2000-09-15","58","","47","0","36","18","","0",""
"2000-09-16","61","0","45","0","29","20","","0",""
"2000-09-17","56","0","44","0","32","21","","0",""
"2000-09-18","54","0","37.5","0","21","27","","0",""
"2000-09-19","56","0","38","0","20","27","","0",""
"2000-09-20","54","0.27","42","0","30","23","","0",""
"2000-09-21","56","0.24","51","0","46","14","","1",""
"2000-09-22","54","0.11","49.5","0","45","15","","0",""
"2000-09-23","50","0.53","47","0","44","18","","0",""
"2000-09-24","50","0.2","48.5","0","47","16","","0",""
"2000-09-25","54","0.05","51.5","0","49","13","","2",""
"2000-09-26","55","","48","0","41","17","","0",""
"2000-09-27","49","0.01","42","0","35","23","","0",""
"2000-09-28","47","0","41.5","0","36","23","","0",""
"2000-09-29","46","0","34","0","22","31","","0",""
"2000-09-30","48","0","33.5","0","19","31","","0",""
"2000-10-01","44","0","36","0","28","29","","0",""
"2000-10-02","41","","35","0","29","30","","0",""
"2000-10-03","42","0.03","38.5","0","35","26","","0",""
"2000-10-04","45","0.08","41.5","0","38","23","","0",""
"2000-10-05","44","0.1","41","0","38","24","","0",""
"2000-10-06","47","0.09","43","0","39","22","","0",""
"2000-10-07","55","0.1","47.5","0","40","17","","0",""
"2000-10-08","46","0","40.5","0","35","24","","0",""
"2000-10-09","43","0","32","0","21","33","","0",""
"2000-10-10","36","0.05","29","0","22","36","","0",""
"2000-10-11","49","0","38.5","0","28","26","","0",""
"2000-10-12","45","0.01","38.5","0","32","26","","0",""
"2000-10-13","47","0","37.5","0","28","27","","0",""
"2000-10-14","50","0.01","41","0","32","24","","0",""
"2000-10-15","45","","37","0","29","28","","0",""
"2000-10-16","51","0.01","44","0","37","21","","0",""
"2000-10-17","48","","41","0","34","24","","0",""
"2000-10-18","42","","33.5","0","25","31","","0",""
"2000-10-19","44","0","33","0","22","32","","0",""
"2000-10-20","41","0","29.5","0","18","35","","0",""
"2000-10-21","37","","27","0","17","38","","0",""
"2000-10-22","37","0.09","34.5","0","32","30","","0",""
"2000-10-23","38","","32","0","26","33","","0",""
"2000-10-24","41","0.15","36.5","0","32","28","","0",""
"2000-10-25","44","0.05","34.5","0","25","30","","0",""
"2000-10-26","37","0","31","0","25","34","","0",""
"2000-10-27","37","0","26.5","0","16","38","","0",""
"2000-10-28","35","0","23.5","0","12","41","","0",""
"2000-10-29","30","","22.5","0","15","42","","0",""
"2000-10-30","33","0.15","31.5","0","30","33","","0",""
"2000-10-31","33","0.17","28","0","23","37","","0",""
"2000-11-01","29","0","20.5","0","12","44","","0",""
"2000-11-02","29","0","23.5","0","18","41","","0",""
"2000-11-03","34","","23","0","12","42","","0",""
"2000-11-04","31","0","24","0","17","41","","0",""
"2000-11-05","32","","25","0","18","40","","0",""
"2000-11-06","33","0","23.5","0","14","41","","0",""
"2000-11-07","33","0","22","0","11","43","","0",""
"2000-11-08","32","","21","0","10","44","","0",""
"2000-11-09","38","0.3","33","0","28","32","","0",""
"2000-11-10","41","0.57","38","0","35","27","","0",""
"2000-11-11","41","0.01","36","0","31","29","","0",""
"2000-11-12","32","0","27","0","22","38","","0",""
"2000-11-13","41","0.1","35.5","0","30","29","","0",""
"2000-11-14","39","0","34","0","29","31","","0",""
"2000-11-15","33","0","26.5","0","20","38","","0",""
"2000-11-16","34","","30.5","0","27","34","","0",""
"2000-11-17","40","0.03","33.5","0","27","31","","0",""
"2000-11-18","36","0.2","31.5","0","27","33","","0",""
"2000-11-19","37","0.38","35","0","33","30","","0",""
"2000-11-20","39","0","36.5","0","34","28","","0",""
"2000-11-21","42","0.01","38.5","0","35","26","","0",""
"2000-11-22","36","","32","0","28","33","","0",""
"2000-11-23","34","0.01","32.5","0","31","32","","0",""
"2000-11-24","36","0","32.5","0","29","32","","0",""
"2000-11-25","35","0","25","0","15","40","","0",""
"2000-11-26","27","0","19.5","0","12","45","","0",""
"2000-11-27","29","0","24.5","0","20","40","","0",""
"2000-11-28","37","0.25","33","0","29","32","","0",""
"2000-11-29","35","0.01","31","0","27","34","","0",""
"2000-11-30","28","","17.5","0","7","47","","0",""
"2000-12-01","15","","7.5","0","0","57","","0",""
"2000-12-02","13","0","6.5","0","0","58","","0",""
"2000-12-03","28","0","20.5","0","13","44","","0",""
"2000-12-04","31","","27.5","0","24","37","","0",""
"2000-12-05","38","0.18","34.5","0","31","30","","0",""
"2000-12-06","37","","33","0","29","32","","0",""
"2000-12-07","37","0.25","29.5","0","22","35","","0",""
"2000-12-08","30","","26.5","0","23","38","","0",""
"2000-12-09","27","","23","0","19","42","","0",""
"2000-12-10","34","0.11","28","0","22","37","","0",""
"2000-12-11","34","0.02","30.5","0","27","34","","0",""
"2000-12-12","33","0","27.5","0","22","37","","0",""
"2000-12-13","31","0","26.5","0","22","38","","0",""
"2000-12-14","29","0","23.5","0","18","41","","0",""
"2000-12-15","24","0","20.5","0","17","44","","0",""
"2000-12-16","25","0","17.5","0","10","47","","0",""
"2000-12-17","28","0.12","22","0","16","43","","0",""
"2000-12-18","33","0.17","28.5","0","24","36","","0",""
"2000-12-19","40","0.04","34","0","28","31","","0",""
"2000-12-20","42","0.01","35.5","0","29","29","","0",""
"2000-12-21","36","0","24.5","0","13","40","","0",""
"2000-12-22","24","0","14.5","0","5","50","","0",""
"2000-12-23","31","0","27","0","23","38","","0",""
"2000-12-24","33","0","31.5","0","30","33","","0",""
"2000-12-25","36","0","33","0","30","32","","0",""
"2000-12-26","30","","28","0","26","37","","0",""
"2000-12-27","30","0","26","0","22","39","","0",""
"2000-12-28","36","0","33","0","30","32","","0",""
"2000-12-29","40","0.14","35","0","30","30","","0",""
"2000-12-30","39","0.01","33.5","0","28","31","","0",""
"2000-12-31","36","","32","0","28","33","","0",""
"2001-01-01","31","","26","0","21","39","","0",""
"2001-01-02","24","","20.5","0","17","44","","0",""
"2001-01-03","28","0","22.5","0","17","42","","0",""
"2001-01-04","25","0","20.5","0","16","44","","0",""
"2001-01-05","22","","17","0","12","48","","0",""
"2001-01-06","31","","25.5","0","20","39","","0",""
"2001-01-07","41","","36","0","31","29","","0",""
"2001-01-08","35","0.02","30.5","0","26","34","","0",""
"2001-01-09","28","0.04","23","0","18","42","","0",""
"2001-01-10","22","0.01","9.5","0","-3","55","","0",""
"2001-01-11","26","","15","0","4","50","","0",""
"2001-01-12","33","","29.5","0","26","35","","0",""
"2001-01-13","39","0","33","0","27","32","","0",""
"2001-01-14","41","0.08","36.5","0","32","28","","0",""
"2001-01-15","41","","34.5","0","28","30","","0",""
"2001-01-16","40","0","34.5","0","29","30","","0",""
"2001-01-17","39","","34.5","0","30","30","","0",""
"2001-01-18","40","0.04","37","0","34","28","","0",""
"2001-01-19","40","0","36","0","32","29","","0",""
"2001-01-20","36","0","34","0","32","31","","0",""
"2001-01-21","36","0.03","32.5","0","29","32","","0",""
"2001-01-22","36","0.07","32.5","0","29","32","","0",""
"2001-01-23","33","0.1","26.5","0","20","38","","0",""
"2001-01-24","37","0.06","30.5","0","24","34","","0",""
"2001-01-25","34","0.21","27","0","20","38","","0",""
"2001-01-26","35","0.04","32.5","0","30","32","","0",""
"2001-01-27","34","","21.5","0","9","43","","0",""
"2001-01-28","22","0","13.5","0","5","51","","0",""
"2001-01-29","26","0","22","0","18","43","","0",""
"2001-01-30","27","0.09","24.5","0","22","40","","0",""
"2001-01-31","31","0.06","29","0","27","36","","0",""
"2001-02-01","31","0.18","20","0","9","45","","0",""
"2001-02-02","24","0","13.5","0","3","51","","0",""
"2001-02-03","23","0.01","9.5","0","-4","55","","0",""
"2001-02-04","25","","20.5","0","16","44","","0",""
"2001-02-05","38","0","22","0","6","43","","0",""
"2001-02-06","37","0.02","33.5","0","30","31","","0",""
"2001-02-07","31","","20","0","9","45","","0",""
"2001-02-08","23","0.11","13","0","3","52","","0",""
"2001-02-09","27","0.01","17.5","0","8","47","","0",""
"2001-02-10","23","0.02","18","0","13","47","","0",""
"2001-02-11","29","0.07","25.5","0","22","39","","0",""
"2001-02-12","31","0.2","27","0","23","38","","0",""
"2001-02-13","30","0","16","0","2","49","","0",""
"2001-02-14","21","","9","0","-3","56","","0",""
"2001-02-15","27","0","19.5","0","12","45","","0",""
"2001-02-16","38","","32","0","26","33","","0",""
"2001-02-17","37","0","27.5","0","18","37","","0",""
"2001-02-18","29","0","23.5","0","18","41","","0",""
"2001-02-19","39","0","33","0","27","32","","0",""
"2001-02-20","36","","29.5","0","23","35","","0",""
"2001-02-21","34","","30","0","26","35","","0",""
"2001-02-22","29","","20","0","11","45","","0",""
"2001-02-23","29","","14.5","0","0","50","","0",""
"2001-02-24","27","","9.5","0","-8","55","","0",""
"2001-02-25","38","0.02","25.5","0","13","39","","0",""
"2001-02-26","43","","38","0","33","27","","0",""
"2001-02-27","40","0.14","35.5","0","31","29","","0",""
"2001-02-28","31","0.01","25.5","0","20","39","","0",""
"2001-03-01","28","0.03","23.5","0","19","41","","0",""
"2001-03-02","30","0.01","16.5","0","3","48","","0",""
"2001-03-03","29","0","21.5","0","14","43","","0",""
"2001-03-04","35","","27.5","0","20","37","","0",""
"2001-03-05","37","","33","0","29","32","","0",""
"2001-03-06","36","","31","0","26","34","","0",""
"2001-03-07","37","","29.5","0","22","35","","0",""
"2001-03-08","41","","31.5","0","22","33","","0",""
"2001-03-09","37","0.02","34.5","0","32","30","","0",""
"2001-03-10","38","0.21","35","0","32","30","","0",""
"2001-03-11","40","0.48","36.5","0","33","28","","0",""
"2001-03-12","38","0.1","34.5","0","31","30","","0",""
"2001-03-13","36","0","32.5","0","29","32","","0",""
"2001-03-14","38","0","33.5","0","29","31","","0",""
"2001-03-15","37","0","34","0","31","31","","0",""
"2001-03-16","41","0","32","0","23","33","","0",""
"2001-03-17","38","0","27","0","16","38","","0",""
"2001-03-18","31","0","23","0","15","42","","0",""
"2001-03-19","30","0","21","0","12","44","","0",""
"2001-03-20","28","0","16.5","0","5","48","","0",""
"2001-03-21","26","","17","0","8","48","","0",""
"2001-03-22","21","0","12","0","3","53","","0",""
"2001-03-23","29","","23","0","17","42","","0",""
"2001-03-24","29","","25.5","0","22","39","","0",""
"2001-03-25","36","","31.5","0","27","33","","0",""
"2001-03-26","46","0","38","0","30","27","","0",""
"2001-03-27","33","","30","0","27","35","","0",""
"2001-03-28","36","0","31","0","26","34","","0",""
"2001-03-29","31","0.02","28.5","0","26","36","","0",""
"2001-03-30","28","0.37","26.5","0","25","38","","0",""
"2001-03-31","31","","19","0","7","46","","0",""
"2001-04-01","32","","15.5","0","-1","49","","0",""
"2001-04-02","39","0.13","31.5","0","24","33","","0",""
"2001-04-03","39","0.55","35.5","0","32","29","","0",""
"2001-04-04","37","0","31.5","0","26","33","","0",""
"2001-04-05","36","","25.5","0","15","39","","0",""
"2001-04-06","34","0.07","26.5","0","19","38","","0",""
"2001-04-07","36","0.08","31.5","0","27","33","","0",""
"2001-04-08","40","0","33.5","0","27","31","","0",""
"2001-04-09","39","0","30","0","21","35","","0",""
"2001-04-10","43","0.02","38.5","0","34","26","","0",""
"2001-04-11","45","0.01","39.5","0","34","25","","0",""
"2001-04-12","45","0","37.5","0","30","27","","0",""
"2001-04-13","45","","37","0","29","28","","0",""
"2001-04-14","43","0","34.5","0","26","30","","0",""
"2001-04-15","39","0","33.5","0","28","31","","0",""
"2001-04-16","42","","36.5","0","31","28","","0",""
"2001-04-17","41","","35.5","0","30","29","","0",""
"2001-04-18","46","","38","0","30","27","","0",""
"2001-04-19","48","0","37","0","26","28","","0",""
"2001-04-20","52","","39.5","0","27","25","","0",""
"2001-04-21","50","0","43","0","36","22","","0",""
"2001-04-22","51","0","41.5","0","32","23","","0",""
"2001-04-23","48","","37.5","0","27","27","","0",""
"2001-04-24","52","0","40","0","28","25","","0",""
"2001-04-25","50","","40.5","0","31","24","","0",""
"2001-04-26","51","0","43.5","0","36","21","","0",""
"2001-04-27","47","0.04","37","0","27","28","","0",""
"2001-04-28","49","0","42.5","0","36","22","","0",""
"2001-04-29","54","0","43.5","0","33","21","","0",""
"2001-04-30","49","0","39.5","0","30","25","","0",""
"2001-05-01","40","0","36","0","32","29","","0",""
"2001-05-02","39","0.02","35","0","31","30","","0",""
"2001-05-03","36","","31","0","26","34","","0",""
"2001-05-04","37","0.02","31","0","25","34","","0",""
"2001-05-05","42","0.02","31","0","20","34","","0",""
"2001-05-06","43","","37.5","0","32","27","","0",""
"2001-05-07","48","0","37","0","26","28","","0",""
"2001-05-08","47","","39","0","31","26","","0",""
"2001-05-09","47","0.03","40.5","0","34","24","","0",""
"2001-05-10","44","","37.5","0","31","27","","0",""
"2001-05-11","50","","38","0","26","27","","0",""
"2001-05-12","54","0","39","0","24","26","","0",""
"2001-05-13","59","0","43.5","0","28","21","","0",""
"2001-05-14","60","0","43.5","0","27","21","","0",""
"2001-05-15","58","0.02","49","0","40","16","","0",""
"2001-05-16","52","","44.5","0","37","20","","0",""
"2001-05-17","57","","41.5","0","26","23","","0",""
"2001-05-18","50","0","43.5","0","37","21","","0",""
"2001-05-19","56","0.01","42","0","28","23","","0",""
"2001-05-20","58","","47","0","36","18","","0",""
"2001-05-21","57","0.01","48","0","39","17","","0",""
"2001-05-22","52","","40","0","28","25","","0",""
"2001-05-23","50","","43.5","0","37","21","","0",""
"2001-05-24","50","","43","0","36","22","","0",""
"2001-05-25","49","","43","0","37","22","","0",""
"2001-05-26","51","0.01","42.5","0","34","22","","0",""
"2001-05-27","66","0","46.5","0","27","18","","0",""
"2001-05-28","69","0","58.5","0","48","6","","9",""
"2001-05-29","57","0","50.5","0","44","14","","1",""
"2001-05-30","54","0","47.5","0","41","17","","0",""
"2001-05-31","63","","46","0","29","19","","0",""
"2001-06-01","68","0","54.5","0","41","10","","5",""
"2001-06-02","73","0","54.5","0","36","10","","5",""
"2001-06-03","57","0","51","0","45","14","","1",""
"2001-06-04","66","0","48","0","30","17","","0",""
"2001-06-05","59","","52","0","45","13","","2",""
"2001-06-06","53","0.15","48.5","0","44","16","","0",""
