agency_cd	site_no	datetime	698_00060_00003	698_00060_00003_cd	699_80154_00003	699_80154_00003_cd	700_80155_00003	700_80155_00003_cd	701_00010_00001	701_00010_00001_cd	702_00010_00002	702_00010_00002_cd	703_00010_00003	703_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	15266300	2000-03-17	1300	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-03-18	1300	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-03-19	1300	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-03-20	1300	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-03-21	1300	A:e					0.0	A	0.0	A	0.0	A
USGS	15266300	2000-03-22	1300	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-03-23	1300	A:e					1.0	A	0.0	A	0.5	A
USGS	15266300	2000-03-24	1300	A:e					1.5	A	0.0	A	1.0	A
USGS	15266300	2000-03-25	1300	A:e					1.5	A	0.0	A	0.5	A
USGS	15266300	2000-03-26	1300	A:e					1.5	A	0.5	A	1.0	A
USGS	15266300	2000-03-27	1300	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-03-28	1300	A:e					0.5	A	0.0	A	0.0	A
USGS	15266300	2000-03-29	1300	A:e					2.0	A	0.0	A	0.5	A
USGS	15266300	2000-03-30	1400	A:e					2.0	A	1.0	A	1.5	A
USGS	15266300	2000-03-31	1400	A:e					2.5	A	0.5	A	1.5	A
USGS	15266300	2000-04-01	1400	A:e					2.0	A	0.0	A	1.0	A
USGS	15266300	2000-04-02	1400	A:e					3.5	A	1.0	A	2.0	A
USGS	15266300	2000-04-03	1400	A:e					4.0	A	1.0	A	2.5	A
USGS	15266300	2000-04-04	1400	A:e					4.0	A	2.0	A	3.0	A
USGS	15266300	2000-04-05	1400	A:e					3.5	A	1.0	A	2.5	A
USGS	15266300	2000-04-06	1400	A:e					3.5	A	1.0	A	2.5	A
USGS	15266300	2000-04-07	1400	A:e					4.0	A	1.5	A	2.5	A
USGS	15266300	2000-04-08	1450	A					4.0	A	1.0	A	2.5	A
USGS	15266300	2000-04-09	1460	A					4.5	A	1.0	A	2.5	A
USGS	15266300	2000-04-10	1500	A:e					3.5	A	1.5	A	2.5	A
USGS	15266300	2000-04-11	1500	A:e					3.5	A	1.5	A	2.5	A
USGS	15266300	2000-04-12	1500	A:e					5.0	A	2.0	A	3.0	A
USGS	15266300	2000-04-13	1600	A:e					4.0	A	2.5	A	3.0	A
USGS	15266300	2000-04-14	1600	A:e					5.0	A	1.5	A	3.0	A
USGS	15266300	2000-04-15	1600	A:e					5.0	A	1.5	A	3.5	A
USGS	15266300	2000-04-16	1700	A:e					4.5	A	2.0	A	3.0	A
USGS	15266300	2000-04-17	1700	A:e					3.5	A	2.0	A	2.5	A
USGS	15266300	2000-04-18	1800	A:e					3.5	A	1.5	A	2.5	A
USGS	15266300	2000-04-19	1800	A:e					4.0	A	1.5	A	2.5	A
USGS	15266300	2000-04-20	1900	A:e					4.0	A	1.5	A	2.5	A
USGS	15266300	2000-04-21	1900	A:e					4.0	A	1.5	A	3.0	A
USGS	15266300	2000-04-22	2000	A:e					4.5	A	1.5	A	2.5	A
USGS	15266300	2000-04-23	2000	A:e					5.0	A	1.5	A	3.0	A
USGS	15266300	2000-04-24	2100	A:e					5.0	A	2.0	A	3.5	A
USGS	15266300	2000-04-25	2200	A:e					5.0	A	2.5	A	4.0	A
USGS	15266300	2000-04-26	2240	A					6.5	A	2.5	A	4.0	A
USGS	15266300	2000-04-27	2290	A					7.0	A	3.5	A	5.0	A
USGS	15266300	2000-04-28	2350	A					7.0	A	3.5	A	5.0	A
USGS	15266300	2000-04-29	2400	A					7.0	A	4.0	A	5.5	A
USGS	15266300	2000-04-30	2440	A					7.0	A	4.5	A	6.0	A
USGS	15266300	2000-05-01	2440	A					7.0	A	4.5	A	6.0	A
USGS	15266300	2000-05-02	2390	A					7.0	A	4.0	A	5.5	A
USGS	15266300	2000-05-03	2430	A					8.0	A	4.0	A	6.0	A
USGS	15266300	2000-05-04	2460	A					9.0	A	5.0	A	7.0	A
USGS	15266300	2000-05-05	2430	A					8.5	A	5.0	A	6.5	A
USGS	15266300	2000-05-06	2490	A					8.5	A	4.5	A	6.5	A
USGS	15266300	2000-05-07	2550	A					9.0	A	6.0	A	7.5	A
USGS	15266300	2000-05-08	2510	A					9.0	A	6.0	A	7.5	A
USGS	15266300	2000-05-09	2540	A					8.5	A	5.5	A	7.0	A
USGS	15266300	2000-05-10	2530	A					8.5	A	5.0	A	6.5	A
